lat,lon,emplois
43.679179,4.59733,1.41
43.679324,4.598341,1.41
43.683265,4.598787,1.41
43.680989,4.599225,31.30
43.679043,4.599327,3.87
43.679043,4.599327,7.35
43.679043,4.599327,7.35
43.679427,4.599329,3.87
43.779322,4.600037,1.41
43.779322,4.600037,1.41
43.679033,4.600282,3.87
43.680035,4.600519,7.35
43.679985,4.600672,7.35
43.684278,4.600713,1.41
43.683718,4.60086,3.87
43.683022,4.600907,1.41
43.683022,4.600907,3.87
43.677683,4.601529,3.87
43.682309,4.601870,1.41
43.678637,4.601914,1.41
43.678637,4.601914,1.41
43.678637,4.601914,1.41
43.678637,4.601914,1.41
43.678637,4.601914,1.41
43.678637,4.601914,1.41
43.678637,4.601914,1.41
43.678637,4.601914,1.41
43.678637,4.601914,3.87
43.678637,4.601914,3.87
43.678637,4.601914,7.35
43.678637,4.601914,7.35
43.678637,4.601914,13.78
43.678637,4.601914,13.78
43.678637,4.601914,13.78
43.678637,4.601914,13.78
43.678637,4.601914,31.30
43.678637,4.601914,31.30
43.674294,4.601974,1.41
43.674294,4.601974,1.41
43.674294,4.601974,3.87
43.674294,4.601974,3.87
43.674294,4.601974,3.87
43.674294,4.601974,13.78
43.674294,4.601974,31.30
43.674294,4.601974,31.30
43.672668,4.60265,13.78
43.669835,4.602767,1.41
43.681209,4.603032,31.30
43.607844,4.603952,1.41
43.683938,4.604759,1.41
43.683938,4.604759,3.87
43.680607,4.605012,3.87
43.682694,4.606139,1.41
43.682694,4.606139,1.41
43.682694,4.606139,1.41
43.682694,4.606139,1.41
43.682694,4.606139,1.41
43.682694,4.606139,1.41
43.682694,4.606139,1.41
43.682694,4.606139,3.87
43.682694,4.606139,3.87
43.682694,4.606139,7.35
43.682694,4.606139,7.35
43.682694,4.606139,13.78
43.682694,4.606139,13.78
43.682694,4.606139,13.78
43.682694,4.606139,31.30
43.682694,4.606139,141.07
43.67511,4.606276,1.41
43.67433,4.607524,31.30
43.680285,4.607817,3.87
43.682236,4.608277,1.41
43.674023,4.608873,1.41
43.674023,4.608873,1.41
43.609464,4.608889,1.41
43.609464,4.608889,1.41
43.609464,4.608889,1.41
