nom,cat,lon,lat
Stade Saint Henri,Stades,5.33237843152315,43.3617873825857
Stade Saint Tronc Régny,Stades,5.421774830912,43.2657516849851
Stade de la Martine stabilisé,Stades,5.36282771819574,43.3728922679015
Stade Saint Jérome,Stades,5.40898210320449,43.3408272413122
Stade Eugiste Morini,Stades,5.39719953395622,43.3176640757209
Stade La Maussane,Stades,5.49314699459204,43.2919143554129
Stade Charpentier,Stades,5.37638196146776,43.3199924276012
Stade Saint Gabriel La Marine,Stades,5.38767922342877,43.3242439922322
Stade Téllène Francis di Giovanni,Stades,5.36928813725907,43.2854709063472
Stade Sevan,Stades,5.43333594136983,43.3164982177908
Complexe Jean Bouin,Stades,5.38695961948942,43.2591475590989
Stade Canet Floride,Stades,5.37768091268417,43.3363523112599
Stade Bombardière,Stades,5.43694221665979,43.3175340462403
Complexe Saint Barthélémy Busserine,Stades,5.39439004530252,43.3324866459719
Stade Chateau Gombert Mallet,Stades,5.42638766726736,43.3462545994397
Stade Eynaud Moricelli,Stades,5.40743410611086,43.2492186376715
Stade Montredon Michelier,Stades,5.35845796701581,43.23346784122
Stade Saint Louis Rive Verte,Stades,5.35437083055815,43.3518314951606
Stade Camelio,Stades,5.35379547660212,43.343326020531
Stade Pierre d'Acunto,Stades,5.48681600745997,43.2993517999931
Stade Philibert,Stades,5.39059704275296,43.324213265473
Stade de Frais Vallon,Stades,5.43509299423898,43.325095589433
Stade Flotte,Stades,5.38085133364066,43.273027467401
Stade Ernest Rouvier,Stades,5.39834868321696,43.2450254066263
Stade Jean-Jacques Vernazza,Stades,5.32452523362614,43.3612548805136
Stade Ledeuc,Stades,5.42310965048579,43.2845588017652
Stade Arsene Manelli,Stades,5.45439108908801,43.3026495683324
Stade Pastour,Stades,5.5184529573395,43.3045252875905
Stade Amédé Magnan,Stades,5.45987906277883,43.3235305296525
Stade Saint Tronc Didier,Stades,5.4221339538494,43.2729928777251
Stade Vélodrome,Stades,5.39588994384273,43.2698535148153
Stade La Germaine,Stades,5.42645388236944,43.2769368534542
Complexe de La Martine Honneur,Stades,5.36197241051405,43.3745874659559
Piscine Municipale Busserine,Piscines,5.39507205290296,43.3335220169941
Piscine Municipale La Granière,Piscines,5.46034745950555,43.2864960248645
Piscine Municipale Frais Vallon,Piscines,5.42125743077836,43.3265665089789
Piscine Municipale La Martine,Piscines,5.36885450772358,43.3761411501422
Piscine Municipale Desautel,Piscines,5.40456161785387,43.2552328195957
Piscine Municipale Vallier,Piscines,5.4012409543115,43.3006034919281
Piscine Municipale Bonneveine,Piscines,5.39207925260289,43.2482221847404
Piscine municipale Saint Charles,Piscines,5.39051836252914,43.3048668200383
Piscine Municipale Louis Armand,Piscines,5.4139519722457,43.299077138274
Piscine Municipale La Pointe Rouge,Piscines,5.36343777429376,43.2412585191336
Piscine municipale Pont de Vivaux,Piscines,5.42205536809417,43.2786697521269
Piscine Municipale Saint Joseph,Piscines,5.37905342271778,43.3490787147808
Piscine Municipale Nord,Piscines,5.35368172777945,43.3452386019279
Piscine Municipale Beaumont Bombardiere,Piscines,5.43621085814673,43.3165092792333
Piscine Municipale La Valentine,Piscines,5.48615551990815,43.2931008510752
Cercle des Nageurs de Marseille,Cercle des nageurs,5.3549315189594,43.291755730367
Piscine Municipale La Castellane,Piscines,5.34240462427439,43.3647881325391
Palais des Sports,Palais des Sports,5.40128867653098,43.2710578682659
Vélodrome des Olives,Vélodrome,5.45827579133696,43.319639004582
Hippodrome Marseille Vivaux,Hippodromes,5.41721983204151,43.2815933474897
Hippodrome Bonneveine,Hippodromes,5.37743045643857,43.2575426418824
Skate Park du Prado,Skate park,5.37460719224723,43.2518925250725
Palais Omnisports Marseille Grand Est,Palais Omnisports,5.40233551203417,43.2824057470794
