X,Y,COMMUNE,DESIGNATIO,TYPE,STATUT,ADRESSE,CODEPOSTAL
5.3938777176372,43.298204743896378,MARSEILLE,SAINT CHARLES CAMAS,LYCEE,PRIVE,RUE DU CAMAS,
5.377227689420456,43.284606122371358,MARSEILLE,NOTRE DAME DE FRANCE,LYCEE,PRIVE,RUE BRETEUIL,
5.374417933763325,43.288293584828907,MARSEILLE,CHARLES PEGUY,LYCEE,PRIVE,RUE SYLVABELLE,
5.374469105114628,43.288408649633489,MARSEILLE,CHARLES PEGUY,LYCEE,PRIVE,RUE SYLVABELLE,
5.377256962740614,43.28943920173085,MARSEILLE,PHOCEA ATTOYAN,LYCEE,PRIVE,RUE D'ARCOLE,
5.37891163907412,43.285566064634928,MARSEILLE,DON BOSCO,LYCEE,PRIVE,RUE STANISLAS TORRENTS,
5.378977466789536,43.285842618245148,MARSEILLE,DON BOSCO,LYCEE,PRIVE,RUE STANISLAS TORRENTS,
5.377979420055123,43.287375769404441,MARSEILLE,SAINT VINCENT DE PAUL,LYCEE,PRIVE,RUE STANISLAS TORRENTS,
5.381177407764382,43.292641128546208,MARSEILLE,SAINT THOMAS D'AQUIN,LYCEE,PRIVE,RUE DIEUDE,
5.382458617398101,43.282396280429403,MARSEILLE,EDMOND ROSTAND,LYCEE,PRIVE,RUE EDMOND ROSTAND,
5.381686771591949,43.282712516455234,MARSEILLE,NOTRE DAME DE SION,LYCEE,PRIVE,RUE PARADIS,
5.381891310318796,43.286572386890072,MARSEILLE,SAINT JOSEPH MARISTES,LYCEE,PRIVE,RUE SAINTE VICTOIRE,
5.382377156982453,43.28618625236453,MARSEILLE,ECOLE PRATIQUE DE COMMERCE,LYCEE,PRIVE,RUE SAINTE VICTOIRE,
5.382209164051199,43.289035644694913,MARSEILLE,ESTHETIQUE ET PARFUMERIE  S.LACOM,LYCEE,PRIVE,RUE DE ROME,
5.382985683551629,43.294207338175582,MARSEILLE,INSTITUT LESCHI,LYCEE,PRIVE,COURS JULIEN,
5.388676228664695,43.288120330920606,MARSEILLE,MAXIMILIEN DE SULLY,LYCEE,PRIVE,RUE DE LODI,
5.386719859254456,43.289407813890172,MARSEILLE,CRS BASTIDE,LYCEE,PRIVE,RUE DE LODI,
5.38802015085292,43.291535837303414,MARSEILLE,LIBRE DES METIERS,LYCEE,PRIVE,RUE DES BONS ENFANTS,
5.373559410640341,43.288076265479724,MARSEILLE,CEVENNES PROVENCE,LYCEE,PRIVE,BD NOTRE DAME,
5.378231864167518,43.287063169532203,MARSEILLE,SAINT VINCENT DE PAUL,LYCEE,PRIVE,RUE STANISLAS TORRENTS,
5.377256962740614,43.28943920173085,MARSEILLE,JEANNE MICHAUD  (SOINS ESTHETIQUE),LYCEE,PRIVE,RUE PISANCON,
5.3824719979016,43.294019575551765,MARSEILLE,GPE PLURALIS,LYCEE,PRIVE,BD THEODORE THURNER,
5.381891310318796,43.286572386890072,MARSEILLE,AMI,LYCEE,PRIVE,RUE SAINT SUFFREN,
5.382458617398101,43.282396280429403,MARSEILLE,IN PRO DENT,LYCEE,PRIVE,AVE DU PRADO,
5.377256962740614,43.28943920173085,MARSEILLE,ESTHETIQUE COIFFURE (DR Y LATO,LYCEE,PRIVE,,
5.377256771504036,43.289435420075804,MARSEILLE,ESTHETIQUE COIFFURE,LYCEE,PRIVE,BD DUGOMMIER,
5.384483130616291,43.269570465098418,MARSEILLE,DE PROVENCE,LYCEE,PRIVE,BD EMILE SICARD,
5.406338708908732,43.265856590007601,MARSEILLE,PROTHESISTES DENTAIRES,LYCEE,PRIVE,AVE DU PRADO,
5.408287068846614,43.24769186954385,MARSEILLE,SAINTE TRINITE,LYCEE,PRIVE,AVE DE LATTRE DE TASSIGNY,
5.421946723856757,43.262649599213908,MARSEILLE,GRANDE BASTIDE,LYCEE,PRIVE,AVE DE LA GRANDE BASTIDE,
5.42182533133173,43.262833748378,MARSEILLE,PASTRE - GRANDE BASTIDE,LYCEE,PRIVE,AVE DE LA GRANDE BASTIDE,
5.406338708908732,43.265856590007601,MARSEILLE,OLYMPIQUE DE MARSEILLE,LYCEE,PRIVE,AVE DU PRADO,
5.410850708099594,43.279059517867864,MARSEILLE,O.R.T. LEON BRAMSON,LYCEE,PRIVE,RUE DES FORGES,
5.410969368244399,43.278719248280133,MARSEILLE,O.R.T. LEON BRAMSON,LYCEE,PRIVE,RUE DES FORGES,
5.468702504349095,43.286503545243214,MARSEILLE,MODELE D'ELECTRONIQUE,LYCEE,PRIVE,BD DE SAINT MARCEL,
5.468827978698099,43.286772719137666,MARSEILLE,MODELE D'ELECTRONIQUE,LYCEE,PRIVE,BD DE SAINT MARCEL,
5.466157795219464,43.286713428318549,MARSEILLE,TECH INST CHIMIE BIOL FORBINE,LYCEE,PRIVE,BD DE LA FORBINE,
