X,Y,COMMUNE,STATUT,DESIGNATIO,TOTAL
5.387480817271072,43.29237048473648,MARSEILLE,PUBLIC,JEAN MALRIEU,376
5.375905247145396,43.285665384939847,MARSEILLE,PUBLIC,PIERRE PUGET,620
5.37299507852014,43.286776700950043,MARSEILLE,PRIVE,NOTRE DAME DE FRANCE,311
5.373758824524361,43.289505339813523,MARSEILLE,PRIVE,SAINT VINCENT DE PAUL,217
5.377056000182932,43.294968837108037,MARSEILLE,PRIVE,ST THOMAS D AQUIN,213
5.377052310804557,43.289257471785263,MARSEILLE,PRIVE,AMI,245
5.377754557169708,43.289049179612036,MARSEILLE,PRIVE,ST JOSEPH (LES MARISTES),495
5.378130754312738,43.296281314337335,MARSEILLE,PRIVE,INSTITUT LESCHI,10
5.381956563823269,43.291592145749178,MARSEILLE,PRIVE,CRS BASTIDE,365
5.372597385588564,43.293016716092602,MARSEILLE,PUBLIC,ANATOLE FRANCE,316
5.356222622776796,43.29044999503796,MARSEILLE,PUBLIC,GASTON DEFFERRE,502
5.375391541801084,43.240087057672653,MARSEILLE,PUBLIC,MARSEILLEVEYRE,1000
5.382202228656555,43.264229513319535,MARSEILLE,PUBLIC,HONORE DAUMIER,719
5.379753658317929,43.272393798993377,MARSEILLE,PRIVE,DE PROVENCE,714
5.381553582490921,43.281024549110164,MARSEILLE,PRIVE,CLUNY,756
5.383915676315461,43.284167177205681,MARSEILLE,PRIVE,ST EUGENE DE MAZENOD,106
5.388988264641942,43.260334718546673,MARSEILLE,PRIVE,STE ANNE,225
5.376792357412432,43.279681954893931,MARSEILLE,PUBLIC,ADOLPHE MONTICELLI,558
5.407730973284048,43.260161261362491,MARSEILLE,PUBLIC,SYLVAIN MENU,667
5.417929071571689,43.266807008953712,MARSEILLE,PUBLIC,VALLON DE TOULOUSE,359
5.401979050777225,43.257100090358655,MARSEILLE,PUBLIC,GRANDE BASTIDE,553
5.39175706206355,43.243105305241819,MARSEILLE,PUBLIC,ROY D ESPAGNE,498
