nom,lon,lat
"Salle Jean Paul Varet ""La Récampado""",5.0417160987854,43.5416113751036
La salle gueule,5.3815864,43.2903337
Centre municipal de ressources Madon,5.3995904,43.2952023
Salle Polyvalente - Centre d'animation des Lices,5.368338,43.289392
Centre de Design de Marseille Provence (CDMP) - Espace d'exposition Galerie Montgrand,5.365858,43.289767
Maison de quartier l'Olivette,5.563594,43.2904
Centre socioculturel Baussenque,5.366858,43.299141
Espace socioculturel,5.7005065,43.2776095
Manifesten,5.3854991,43.2968366
La ruche coworking,5.3866438,43.30281069999999
Centre Culturel / Alsh,5.602543,43.349028
Gyptis - Belle de Mai,5.384281,43.312746
L'R de la mer - Compagnie Théâtre de la Mer,5.37094,43.3026837
Nomad Café,5.370436,43.318368
Creuset des Arts,5.408322,43.310381
Maison pour tous,5.5592355,43.4563757
"Credd'o, Oustau di Petit",4.768513,43.853119
"La Baleine qui dit ""Vagues""",5.383615,43.293601
Centre culturel,5.245114,43.719481
Salle des Fêtes,4.6298194,43.6754123
L'Affranchi,5.4882679,43.2848916
Magic Mirrors,4.986935,43.504955
Espace 233,4.994445,43.500379
Centre Aéré,5.146185,43.390426
Le Bastidon,5.164822,43.703161
Centre socioculturel,4.9506747,43.8032981
Maison de Carro,5.042912,43.333718
Bastide Marin,5.6168837,43.1987645
Friche Belle de Mai,5.390431,43.309453
Montévidéo,5.37744,43.286427
Espace Saint-Exupéry,5.231302,43.420938
KLAP Maison pour la Danse Kelemenis & Cie,5.3781335,43.3122776
Studio Fotokino,5.3828302,43.2990783
Centre culturel provençal de Château-Gombert : Roudelet Felibren,5.345833,43.365423
Point de Bascule,5.377488,43.286183
Centre Culturel Hugues Long,5.70054,43.2759583
Grains de Lumière - La Traverse,5.3658933,43.2969947
La Meson,5.387818,43.300398
Polly Maggoo,5.3821768,43.300771
Espace Culturel Busserine,5.38872,43.3426011
Le Polygone Etoilé - Film flamme,5.370981,43.305147
Arthémuse,5.3821356,43.2946187
Dar Lamifa,5.3828099,43.2929006
Horizontes del Sur,5.391889,43.303065
Centre Méditerranéen de la Communication Audiovisuelle CMCA,5.3821186,43.2979156
L'Eolienne,5.3788093,43.2955427
Centre Marcel Pagnol,5.1536327,43.5695806
Cité des Arts de la Rue,5.3650176,43.3513284
Centre Recherche Européen des Arts du Cirque CREAC,5.362701,43.333191
Gare Franche - Cosmos Kolej,5.353886,43.371318
Maison de quartier Yves Montand,5.510198,43.352286
Maison de quartier Logis Neuf,5.486608,43.361637
Maison de quartier Gérard Philippe,5.510198,43.352286
Centre Fleg,5.37778,43.287293
Friche du Panier,5.3669423,43.3012536
Espace Van Gogh,4.625886,43.675573
GMEM,5.389186,43.279536
Artothèque Antonin Artaud,5.428459,43.339739
Espace Culturel et Sportif Robert Ollive,5.478888,43.352036
Daki Ling le jardin des muses,5.380438,43.294642
Hang'art,5.400961,43.306446
Institut Culturel Italien,5.390931,43.288963
Pôle des Arts Visuels,5.3130825,43.3608449
"Cité de la Musique de Marseille - L'Auditorium, Le Salon, La Médiathèque",5.3755,43.301608
Centre International de Poésie Marseille,5.368016,43.300082
PIC - Pôle Instrumental Contemporain - Marseille,5.3066688,43.3639821
Maison de l'artisanat et des métiers d'art,5.373652,43.292658
"Potentielles, le magasin alternatif - Espace culturel",5.3923928,43.3014184
Escale Saint-Michel (L'),5.572579,43.292326
Portail Coucou - Café Musiques,5.099637,43.642122
Maison des Jeunes et de la Culture - MJC,5.572756,43.292415
Zinc,5.390458,43.309551
Centre municipal d'animation Tempo Sylvabelle,5.376878,43.288745
Cours des Héros,5.4463322,43.4024129
CRDP : Centre régional de documentation pédagogique,5.380558,43.301004
Cinéma Gérard Philipe,4.796854,43.393086
IMFP (Institut Musical Formation Professionnelle),5.083333,43.639687
Espace Georges Jouvin (salle des fêtes),5.504295229911804,43.693267174202795
Pôle culturel de l'Usine Electrique,5.4836413,43.3380244
Espace culturel Gérard Philipe,4.789873,43.441382
Centre de Culture & Information sur le Monde Arabe,5.388429,43.299516
Station Alexandre,5.383003,43.324597
